Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Presgo\Project Outputs for Presgo\Pick Place for Presgo.csv

========================================================================================================================
File Design Information:

Date:       06/02/24
Time:       03:04
Revision:   719d837e3f11af646828f54bc696f60a9dc6654e
Variant:    No variations
Units used: mil

"Designator","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"L6","1432.000","919.000","TopLayer","180"
"SW1","1948.000","1227.000","TopLayer","90"
"F1","1690.892","1115.000","TopLayer","180"
"U1","1292.934","1040.354","TopLayer","270"
"L2","891.902","1043.307","TopLayer","180"
"L1","1098.432","1043.307","TopLayer","180"
"C9","1120.000","994.000","TopLayer","270"
"C8","1158.000","984.252","TopLayer","270"
"C7","1201.000","1189.000","TopLayer","270"
"C6","956.000","1033.000","TopLayer","270"
"C5","1087.598","1094.488","TopLayer","90"
"C4","1148.622","1054.291","TopLayer","90"
"C3","1019.982","1043.307","TopLayer","180"
"J1","1954.000","948.039","TopLayer","180"
"Y1","1336.000","1237.000","TopLayer","0"
"S1","1820.000","1472.000","TopLayer","180"
"R5","1611.000","1267.000","TopLayer","0"
"R4","1363.000","861.000","TopLayer","0"
"R3","1727.000","1206.000","TopLayer","180"
"R2","1566.000","903.000","TopLayer","270"
"R1","1685.000","996.000","TopLayer","90"
"Q1","1716.000","1270.000","TopLayer","0"
"L5","1534.000","1049.995","TopLayer","180"
"L4","1128.005","878.000","BottomLayer","90"
"L3","1161.005","1133.000","TopLayer","270"
"IC1","1644.000","897.000","TopLayer","90"
"C19","1509.000","896.000","TopLayer","270"
"C18","1416.000","1111.000","TopLayer","90"
"C17","1481.000","1128.000","TopLayer","270"
"C16","1451.000","1028.000","TopLayer","180"
"C15","1449.000","1100.000","TopLayer","90"
"C14","1432.000","961.000","TopLayer","180"
"C13","1487.000","961.000","TopLayer","180"
"C12","1460.000","997.000","TopLayer","0"
"C11","1364.000","910.000","TopLayer","180"
"C10","1517.000","1126.000","TopLayer","90"
"C2","1169.000","1231.000","TopLayer","90"
"C1","1649.000","1358.000","TopLayer","90"
"BAT1","1751.969","1102.362","BottomLayer","0"
"ANT1","849.409","1181.102","TopLayer","90"
